識別情報,団体コード,団体名,識別,名称,概要,通称,住所,緯度,経度,電話番号,ホームページ,バリアフリー情報,施設画像,開始時間,終了時間,利用用途,サービス情報,設備情報,利用可能なスペース,会議,公演,運動,教室,チラシ
23901001,11224,戸田市,07 子育て関連施設,新曽南保育園,子育て関連施設,23900001,新曽南2-15-38,35.80869,139.664902,048-444-7717,,1.00E+15,,,,,,,,,,,,
23901002,11224,戸田市,07 子育て関連施設,上戸田南保育園,子育て関連施設,上戸田南保育園,本町5-11-11,35.80523,139.676324,048-444-4080,,1.00E+15,,,,,,,,,,,,
23901003,11224,戸田市,07 子育て関連施設,喜沢南保育園,子育て関連施設,喜沢南保育園,喜沢南2-6-3,35.806982,139.690378,048-443-9341,,1.00E+15,,,,,,,,,,,,
23901004,11224,戸田市,07 子育て関連施設,プリムローズ,子育て関連施設,プリムローズ,笹目2-19-14,35.815649,139.652383,048-422-1033,http://www.geocities.jp/toda_jidoukan/annai.html,1.11E+15,23901004.jpg,9:00,18:00,教室/運動,駐車場:40台/アスレチック・プレイルーム・研修室・図書コーナー,,,,,,,
23901005,11224,戸田市,07 子育て関連施設,笹目川保育園,子育て関連施設,笹目川保育園,笹目2-5-5,35.814039,139.655595,048-422-2100,,1.11E+15,,,,,,,,,,,,
23901006,11224,戸田市,07 子育て関連施設,新曽保育園,子育て関連施設,新曽保育園,新曽1835-1,35.813388,139.661288,048-442-3100,,1.11E+15,,,,,,,,,,,,
23901007,11224,戸田市,07 子育て関連施設,戸田公園駅前子育て広場,子育て関連施設,戸田公園駅前子育て広場,本町4-15-11,35.80807,139.677429,048-420-9741,http://www.city.toda.saitama.jp/soshiki/251/kodomokatei-todakouen-hiroba.html,1.11E+13,,,,,,,,,,,,
23901008,11224,戸田市,07 子育て関連施設,笹目東保育園,子育て関連施設,笹目東保育園,笹目1-37-14,35.818294,139.652517,048-421-5011,,100,,,,,,,,,,,,
23901009,11224,戸田市,07 子育て関連施設,下戸田保育園,子育て関連施設,下戸田保育園,下前2-9-22,35.808085,139.685658,048-442-3746,,100,,,,,,,,,,,,
23901010,11224,戸田市,07 子育て関連施設,こどもの国,子育て関連施設,こどもの国,本町1-17-7,35.80968,139.680281,,,1.11E+15,23901010.jpg,,,,,,,,,,,
23901011,11224,戸田市,07 子育て関連施設,とだファミリー・サポート・センター,子育て関連施設,とだファミリー・サポート・センター,上戸田1-18-1,35.817904,139.67869,048-433-2244,http://www.todashakyo.or.jp/jigyou/jigyou.php?eid=00022,1.11E+15,,,,,,,,,,,,